team,team_id,abbreviation,color,alt_color,logo_light,logo_dark,seasons
Air Force,2005,AF,#003594,#ffffff,https://cdn.collegefootballdata.com/logos/500/2005.png,https://cdn.collegefootballdata.com/logos-dark/500/2005.png,2021|2023|2026
Akron,2006,AKR,#041e42,#a89968,https://cdn.collegefootballdata.com/logos/500/2006.png,https://cdn.collegefootballdata.com/logos-dark/500/2006.png,2021|2023|2026
Alabama,333,ALA,#9e1b32,#ffffff,https://cdn.collegefootballdata.com/logos/500/333.png,https://cdn.collegefootballdata.com/logos-dark/500/333.png,2021|2023|2026
App State,2026,APP,#000000,#ffcd00,https://cdn.collegefootballdata.com/logos/500/2026.png,https://cdn.collegefootballdata.com/logos-dark/500/2026.png,2021|2023|2026
Arizona,12,ARIZ,#cc0033,#003366,https://cdn.collegefootballdata.com/logos/500/12.png,https://cdn.collegefootballdata.com/logos-dark/500/12.png,2021|2023|2026
Arizona State,9,ASU,#ffc627,#8c1d40,https://cdn.collegefootballdata.com/logos/500/9.png,https://cdn.collegefootballdata.com/logos-dark/500/9.png,2021|2023|2026
Arkansas,8,ARK,#a32136,#ffffff,https://cdn.collegefootballdata.com/logos/500/8.png,https://cdn.collegefootballdata.com/logos-dark/500/8.png,2021|2023|2026
Arkansas State,2032,ARST,#cc092f,#000000,https://cdn.collegefootballdata.com/logos/500/2032.png,https://cdn.collegefootballdata.com/logos-dark/500/2032.png,2021|2023|2026
Army,349,ARMY,#000000,#d3bc8d,https://cdn.collegefootballdata.com/logos/500/349.png,https://cdn.collegefootballdata.com/logos-dark/500/349.png,2021|2023|2026
Auburn,2,AUB,#0c2340,#f26522,https://cdn.collegefootballdata.com/logos/500/2.png,https://cdn.collegefootballdata.com/logos-dark/500/2.png,2021|2023|2026
BYU,252,BYU,#003da5,#002e5d,https://cdn.collegefootballdata.com/logos/500/252.png,https://cdn.collegefootballdata.com/logos-dark/500/252.png,2021|2023|2026
Ball State,2050,BALL,#ba0c2f,#ffffff,https://cdn.collegefootballdata.com/logos/500/2050.png,https://cdn.collegefootballdata.com/logos-dark/500/2050.png,2021|2023|2026
Baylor,239,BAY,#154734,#ffb81c,https://cdn.collegefootballdata.com/logos/500/239.png,https://cdn.collegefootballdata.com/logos-dark/500/239.png,2021|2023|2026
Boise State,68,BOIS,#0033a0,#d64309,https://cdn.collegefootballdata.com/logos/500/68.png,https://cdn.collegefootballdata.com/logos-dark/500/68.png,2021|2023|2026
Boston College,103,BC,#8c2232,#dbcca6,https://cdn.collegefootballdata.com/logos/500/103.png,https://cdn.collegefootballdata.com/logos-dark/500/103.png,2021|2023|2026
Bowling Green,189,BGSU,#fd5000,#4f2c1d,https://cdn.collegefootballdata.com/logos/500/189.png,https://cdn.collegefootballdata.com/logos-dark/500/189.png,2021|2023|2026
Buffalo,2084,BUF,#005bbb,#ffffff,https://cdn.collegefootballdata.com/logos/500/2084.png,https://cdn.collegefootballdata.com/logos-dark/500/2084.png,2021|2023|2026
California,25,CAL,#041e42,#ffc72c,https://cdn.collegefootballdata.com/logos/500/25.png,https://cdn.collegefootballdata.com/logos-dark/500/25.png,2021|2023|2026
Central Michigan,2117,CMU,#6a0032,#ffc82e,https://cdn.collegefootballdata.com/logos/500/2117.png,https://cdn.collegefootballdata.com/logos-dark/500/2117.png,2021|2023|2026
Charlotte,2429,CLT,#005035,#a49665,https://cdn.collegefootballdata.com/logos/500/2429.png,https://cdn.collegefootballdata.com/logos-dark/500/2429.png,2021|2023|2026
Cincinnati,2132,CIN,#000000,#e00122,https://cdn.collegefootballdata.com/logos/500/2132.png,https://cdn.collegefootballdata.com/logos-dark/500/2132.png,2021|2023|2026
Clemson,228,CLEM,#f56600,#522d80,https://cdn.collegefootballdata.com/logos/500/228.png,https://cdn.collegefootballdata.com/logos-dark/500/228.png,2021|2023|2026
Coastal Carolina,324,CCU,#006f71,#a27752,https://cdn.collegefootballdata.com/logos/500/324.png,https://cdn.collegefootballdata.com/logos-dark/500/324.png,2021|2023|2026
Colorado,38,COLO,#cfb87c,#000000,https://cdn.collegefootballdata.com/logos/500/38.png,https://cdn.collegefootballdata.com/logos-dark/500/38.png,2021|2023|2026
Colorado State,36,CSU,#1e4d2b,#c8c372,https://cdn.collegefootballdata.com/logos/500/36.png,https://cdn.collegefootballdata.com/logos-dark/500/36.png,2021|2023|2026
Delaware,48,DEL,#00539f,#ffd200,https://cdn.collegefootballdata.com/logos/500/48.png,https://cdn.collegefootballdata.com/logos-dark/500/48.png,2026
Duke,150,DUKE,#00539b,#ffffff,https://cdn.collegefootballdata.com/logos/500/150.png,https://cdn.collegefootballdata.com/logos-dark/500/150.png,2021|2023|2026
East Carolina,151,ECU,#592a8a,#fdc82f,https://cdn.collegefootballdata.com/logos/500/151.png,https://cdn.collegefootballdata.com/logos-dark/500/151.png,2021|2023|2026
Eastern Michigan,2199,EMU,#046a38,#ffffff,https://cdn.collegefootballdata.com/logos/500/2199.png,https://cdn.collegefootballdata.com/logos-dark/500/2199.png,2021|2023|2026
Florida,57,FLA,#0021a5,#fa4616,https://cdn.collegefootballdata.com/logos/500/57.png,https://cdn.collegefootballdata.com/logos-dark/500/57.png,2021|2023|2026
